1;66419296;0
1;66419298;14.9
1;66419300;16.7
1;66419302;19.1
1;66419304;21.5
1;66419306;23.9
1;66419308;26.3
1;66419310;28.1
1;66419314;32.4
1;66419316;31.8
1;66419318;35.5
1;66419320;34.5
1;66419322;37.3
1;66419326;38.2
1;66419328;40.0
1;66419330;40.6
1;66419332;42.3
1;66419336;44.4
1;66419338;45.5
1;66419340;47.0
1;66419342;48.8
1;66419344;49.6
1;66419348;51.8
1;66419350;52.6
1;66419352;55.2
1;66419354;55.8
1;66419356;57.3
1;66419358;59.1
1;66419360;59.7
1;66419364;61.1
1;66419366;63.5
1;66419368;64.8
1;66419370;64.2
1;66419374;64.9
1;66419376;66.0
1;66419378;67.5
1;66419380;69.6
1;66419382;70.4
1;66419384;69.6
1;66419391;70.2
1;66419393;71.7
1;66419395;72.6
1;66419397;73.4
1;66419399;74.3
1;66419401;74.9
1;66419405;75.8
1;66419407;76.3
1;66419415;77.2
1;66419417;77.7
1;66419423;79.3
1;66419429;79.9
1;66419431;80.9
1;66419437;81.4
1;66419439;82.2
1;66419445;83.0
1;66419449;83.5
1;66419455;84.2
1;66419459;84.9
1;66419473;85.4
1;66419481;86.0
1;66419499;86.6
1;66419513;87.2
1;66419529;87.9
1;66419539;88.5
1;66419549;89.0
1;66419563;89.7
1;66419585;90.2
1;66419589;91.0
1;66419591;91.6
1;66419593;92.3
1;66419595;93.2
1;66419597;94.4
1;66419599;96.0
1;66419601;97.4
1;66419603;99.7
1;66419659;96.0
1;66419663;98.7
1;66419665;100
1;66419827;97.4
1;66419829;94.5
1;66419833;93.8
1;66419843;94.4
1;66419849;95.0
1;66419855;95.6
1;66419865;96.2
1;66419914;96.8
1;66419954;96.3
1;66420006;96.8
1;66420028;97.3
1;66420044;97.8
1;66420058;98.4
1;66420068;99.1
1;66420076;99.8
1;66420230;99.2
1;66420254;98.7
1;66420280;98.1
1;66420360;98.6
1;66420382;99.2
1;66420495;99.7
1;66420715;99.2
1;66420757;98.7
1;66420799;99.2
1;66420823;99.8
1;66420909;99.2
1;66420941;98.6
1;66421011;99.2
1;66421044;99.7
1;66421320;99.1
1;66421366;98.6
1;66421388;98.1
1;66421406;97.6
1;66421428;97.1
1;66421605;96.6
1;66421951;97.1
1;66421979;97.6
1;66422007;98.2
1;66422087;97.6
1;66422212;98.2
1;66422316;97.6
1;66422354;98.1
1;66422386;98.6
1;66422414;99.2
1;66422564;99.7
